"date","TOC_Tesla","Q_HH_cfd_sum1","ADD_HH_sum1","SJPL_mgd","V_HH_af","SR_HH_cfs","CPT_cfs","Ta_HH_C","ADD_HH","Q_HH_cfd","ADD_HH_sum","Q_HH_cfd_sum","Tw_Tesla_C"
"1999-01-03",0.9,54301074732.8008,243,159.9,297400,42,423,5.833333333,14,14562738.00576,72,1816794138.04618,10
"1999-01-05",0.9,54301074732.8008,243,159.2,296700,42,257,6.944444444,16,14050895.73984,74,1858418471.95978,8.9
"1999-01-10",0.9,54301074732.8008,243,160.1,295100,42,129,6.111111111,21,11821905.22752,79,1933451717.62954,10
"1999-01-14",0.9,54301074732.8008,243,161.2,293300,42,317,7.5,0,15470845.24896,82,1981998895.09738,10
"1999-01-17",0.9,54301074732.8008,243,160.2,292900,43,306,6.944444444,0,48141477.60192,82,2071517041.0129,11.1
"1999-01-22",0.9,54301074732.8008,243,161.3,297500,47,547,4.166666667,0,72896245.24608,83,2512460897.2849,11.1
"1999-01-24",0.9,54301074732.8008,243,161.7,297900,51,576,2.5,1,53377836.26976,84,2625691256.5441,10
"1999-01-25",0.9,54301074732.8008,243,160.7,297900,49,488,1.666666667,0,43754258.18592,84,2669445514.73002,11.1
"1999-01-31",0.9,54301074732.8008,243,156.9,293600,46,909,-0.277777778,0,28052258.35968,87,2859827250.32266,11.1
"1999-02-02",0.9,54301074732.8008,243,159.2,290900,61,911,2.222222222,2,34708373.44128,89,2927049281.08906,11.1
"1999-02-07",1,54301074732.8008,243,159.5,291400,92,505,3.888888889,0,166285144.5984,92,3325769527.71658,11.1
"1999-02-10",1,54301074732.8008,243,158.3,292100,141,869,-3.333333333,1,89664773.04,93,3634463429.46058,8.9
"1999-02-14",0.9,54301074732.8008,243,158.8,284900,126,1362,5,1,47363389.77024,96,3863189258.97034,10
"1999-02-16",1,54301074732.8008,243,158.2,281000,120,1360,2.777777778,0,53717446.91808,97,3968748024.50794,10
"1999-02-21",1,54301074732.8008,243,114,273300,136,1255,-0.555555556,1,45363366.20448,100,4226230197.7969,12.2
"1999-02-25",1.1,54301074732.8008,243,114,265300,141,1306,4.166666667,0,42301383.2352,102,4399205686.65994,10
"1999-02-28",1.1,54301074732.8008,243,113.7,259200,136,1352,7.5,0,49317900.77952,104,4536436127.41354,10
"1999-03-03",1.1,54301074732.8008,243,114,254100,133,1346,9.444444444,0,59560939.63008,105,4711572259.23082,11.1
"1999-03-07",1.1,54301074732.8008,243,114.1,246300,129,1355,3.333333333,4,46109717.97696,109,4918595141.63722,10
"1999-03-11",1.2,54301074732.8008,243,92.9,237800,125,1308,2.5,2,40701925.67328,111,5084317089.95242,10
"1999-03-14",1.1,54301074732.8008,243,113.5,231400,150,1341,5.833333333,5,41638050.45792,114,5207378494.3537,12.2
"1999-03-15",1,54301074732.8008,243,113.4,229200,149,1339,6.388888889,6,44231896.22976,115,5251610390.58346,10
"1999-03-21",1.1,54301074732.8008,243,113.5,218600,132,1323,4.444444444,0,62338667.04864,119,5598854179.07818,8.9
"1999-03-24",1.1,54301074732.8008,243,113.3,213600,131,1318,7.222222222,2,67322974.32288,121,5787483323.8225,11.1
"1999-03-28",1.1,54301074732.8008,243,113.6,208800,131,1314,6.666666667,6,84933821.8944,125,6111070458.82186,10
"1999-03-29",1.1,54301074732.8008,243,113.3,207500,130,1313,7.777777778,0,81150317.54496,125,6192220776.36682,11.1
"1999-04-04",1,54301074732.8008,243,113.5,197200,152,1245,1.111111111,1,48869905.92768,128,6549132403.93738,10
"1999-04-05",1.1,54301074732.8008,243,112.9,195200,150,1294,0.833333333,0,48533057.93664,128,6597665461.87402,11.1
"1999-04-11",1.2,54301074732.8008,243,227.2,184300,139,1255,3.888888889,1,53232761.05344,130,6891938557.93354,10
"1999-04-12",1.1,54301074732.8008,243,227.9,182600,136,1162,8.055555556,2,63098364.89088,131,6955036922.82442,10
